,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,exp_delta,ref_delta,ref_ff_delta,job_cif_str
19108,0.2332156079510299,23647.65392826125,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19108.pdb,0.4437974132826757,7mhj,2,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.5562025867173244,,,,,,,,,,,,,,,-0.006784392048970078,-0.06452046769778219,22736.824332382632,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
9850,0.2960102285332634,1668.8797939985848,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9850.pdb,0.4678927820259553,7mhk,2,1,5,7mhk,0.5321072179740447,,,,,,,,,,,,,,,0.04901022853326342,-0.01509698243317037,1196.0243752770991,7mhk
11299,0.2647822286030307,7354.539559662717,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/11299.pdb,0.5204498159372466,7mhk,2,2,19,"7mhi,7mhk",0.4795501840627533,,,,,,,,,,,,,,,0.017782228603030692,-0.0463249823634031,6881.684140941231,"7mhi,7mhk"
13606,0.2726362567833055,2488.2996152662645,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/13606.pdb,0.5033026581765137,7mhk,2,3,35,"7mhg,7mhi,7mhk",0.4966973418234863,,,,,,,,,,,,,,,0.0256362567833055,-0.03847095418312829,2015.4441965447788,"7mhg,7mhi,7mhk"
17350,0.2492194529315583,5487.896668942488,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/17350.pdb,0.5118468147966136,7mhk,2,4,55,"7mhh,7mhi,7mhj,7mhk",0.4881531852033864,,,,,,,,,,,,,,,0.0022194529315583134,-0.06188775803487548,5015.041250221002,"7mhh,7mhi,7mhj,7mhk"
18874,0.2522862440667875,6857.599527057417,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/18874.pdb,0.4900460264156054,7mhk,2,5,61,"7mhg,7mhh,7mhi,7mhj,7mhk",0.5099539735843945,,,,,,,,,,,,,,,0.0052862440667875155,-0.058820966899646276,6384.744108335931,"7mhg,7mhh,7mhi,7mhj,7mhk"
19186,0.2561869865875424,5760.865547905747,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19186.pdb,0.5205179518056208,7mhk,2,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.4794820481943793,,,,,,,,,,,,,,,0.009186986587542412,-0.05492022437889138,5288.010129184261,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19200,0.3016821827228065,3246.2009362592125,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19200.pdb,0.2125987130484906,7mhf,4,1,0,7mhf,0.4722128508836766,0.2341707231654318,0.0810177129024009,,,,,,,,,,,,,0.0776821827228065,-0.0138317945680963,2829.2161036615744,7mhf
19540,0.2915720020645034,5911.153334596763,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19540.pdb,0.3954323957758819,7mhf,4,2,6,"7mhf,7mhg",0.2668213806897044,0.2186095076218462,0.1191367159125675,,,,,,,,,,,,,0.0675720020645034,-0.023941975226399403,5494.168501999125,"7mhf,7mhg"
21455,0.2986460862044611,4829.658171908568,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/21455.pdb,0.3901100175060586,7mhf,4,3,24,"7mhf,7mhg,7mhk",0.3528144755114454,0.1863248062082729,0.0707507007742231,,,,,,,,,,,,,0.07464608620446109,-0.01686789108644171,4412.67333931093,"7mhf,7mhg,7mhk"
